,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
INP01 Volumes,,,,"Products, Regions",Month,Model Calendar,All,,254016,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Units,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,All,,36288,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL01 Volumes'.Units,INP01 Volumes
Price,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,All,,36288,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL02 Revenue'.Gross Revenue,INP01 Volumes
Discount %,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,All,,36288,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL02 Revenue'.Discounts,INP01 Volumes
Returns %,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,All,,36288,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL01 Volumes'.Returns,INP01 Volumes
Volume Override,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,All,,36288,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL01 Volumes'.Units,INP01 Volumes
Use Override?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,All,,36288,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL01 Volumes'.Units,INP01 Volumes
Comment,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,All,,36288,,,-,-,,,false,All Versions,,false,false,false,false,-,,INP01 Volumes
INP02 Opex Drivers,,,,Cost Centres,Month,Model Calendar,All,,1110816,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Rent,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL05 Opex OLD'.Rent Forecast, 'CAL12 Driver Phasing'.Rent Phased, Property Costs, Total Drivers",INP02 Opex Drivers
Business Rates,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL05 Opex OLD'.Rates Forecast, 'CAL12 Driver Phasing'.Business Rates Phased, Property Costs, Total Drivers",INP02 Opex Drivers
Utilities,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL05 Opex OLD'.Utilities Forecast, 'CAL12 Driver Phasing'.Utilities Phased, Property Costs, Total Drivers",INP02 Opex Drivers
Cleaning,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Cleaning Phased, Property Costs, Total Drivers",INP02 Opex Drivers
Security,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Security Phased, Property Costs, Total Drivers",INP02 Opex Drivers
Insurance,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Insurance Phased, Property Costs, Total Drivers",INP02 Opex Drivers
Travel,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL05 Opex OLD'.Travel Forecast, 'CAL12 Driver Phasing'.Travel Phased, People Costs, Total Drivers",INP02 Opex Drivers
Subsistence,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL12 Driver Phasing'.Subsistence Phased, People Costs, Total Drivers",INP02 Opex Drivers
Mileage,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Mileage Phased, People Costs, Total Drivers",INP02 Opex Drivers
Hotels,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Hotels Phased, People Costs, Total Drivers",INP02 Opex Drivers
Marketing Events,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL05 Opex OLD'.Marketing Forecast, 'CAL12 Driver Phasing'.Marketing Events Phased, Marketing Costs, Total Drivers",INP02 Opex Drivers
Marketing Digital,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL12 Driver Phasing'.Marketing Digital Phased, Marketing Costs, Total Drivers",INP02 Opex Drivers
Marketing Print,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Marketing Print Phased, Marketing Costs, Total Drivers",INP02 Opex Drivers
Agency Fees,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Agency Fees Phased, Marketing Costs, Total Drivers",INP02 Opex Drivers
Software Licences,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL05 Opex OLD'.Software Forecast, 'CAL12 Driver Phasing'.Software Licences Phased, IT Costs, Total Drivers",INP02 Opex Drivers
Software Support,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Software Support Phased, IT Costs, Total Drivers",INP02 Opex Drivers
Hardware,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL12 Driver Phasing'.Hardware Phased, IT Costs, Total Drivers",INP02 Opex Drivers
Telecoms,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Telecoms Phased, IT Costs, Total Drivers",INP02 Opex Drivers
Mobile,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Mobile Phased, IT Costs, Total Drivers",INP02 Opex Drivers
Postage,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Postage Phased, Total Drivers",INP02 Opex Drivers
Stationery,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Stationery Phased, Total Drivers",INP02 Opex Drivers
Printing,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Printing Phased, Total Drivers",INP02 Opex Drivers
Legal Fees,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Legal Fees Phased, Total Drivers",INP02 Opex Drivers
Audit Fees,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL12 Driver Phasing'.Audit Fees Phased, Total Drivers",INP02 Opex Drivers
Consultancy,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL05 Opex OLD'.Fees Forecast, 'CAL12 Driver Phasing'.Consultancy Phased, Total Drivers",INP02 Opex Drivers
Contractors,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Contractors Phased, Total Drivers",INP02 Opex Drivers
Recruitment Fees,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL03 Opex'.Forecast Opex, 'CAL12 Driver Phasing'.Recruitment Fees Phased, People Costs, Total Drivers",INP02 Opex Drivers
Training,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Training Phased, People Costs, Total Drivers",INP02 Opex Drivers
Subscriptions,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Subscriptions Phased, Total Drivers",INP02 Opex Drivers
Memberships,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL12 Driver Phasing'.Memberships Phased, Total Drivers",INP02 Opex Drivers
Bank Charges,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,Total Drivers,INP02 Opex Drivers
Vehicle Lease,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,Total Drivers,INP02 Opex Drivers
Fuel,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,Total Drivers,INP02 Opex Drivers
Repairs,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,Total Drivers,INP02 Opex Drivers
Maintenance Contracts,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,Total Drivers,INP02 Opex Drivers
